Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
43479,23,"Proposed contract with Parkmobile USA, Inc. ",Chairman Mendelson,CA23-0331,,,2019/10/23 00:00:00,2019/10/24 16:35:49,Retained by the Council,,Approved,2019/11/03 00:00:00,New,Contract,Contract,http://lims.dccouncil.us/Download/43479/CA23-0331-Introduction.pdf
43478,23,"FY 2019 Grant Budget Modifications of October 21, 2019",Chairman Mendelson,GBM23-0053,,,2019/10/23 00:00:00,2019/10/24 16:36:40,Retained by the Council,,Approved,2019/11/07 00:00:00,New,Grant Budget Modification,Grant Budget Modification,http://lims.dccouncil.us/Download/43478/GBM23-0053-Introduction.pdf
43477,23,Correspondence from the Mayor - Annual Report for Fiscal Year 2019 and Plan for Fiscal Year 2020 of the Department on Disability Services to the Council of the District of Columbia on Substitute Decision Makers and Psychotropic Medication Review for People with Developmental Disabilities,Chairman Phil Mendelson,RC23-0122,,,2019/10/24 00:00:00,2019/10/24 16:36:39,,,,0001/01/01 00:00:00,New,Report,Other,http://lims.dccouncil.us/Download/43477/RC23-0122-Introduction.pdf
43476,23,"Request to reprogram $258,000 of Special Purpose Revenue Funds Budget Authority within the Department of Housing and Community Development ",Chairman Mendelson,REPROG23-0068,,,2019/10/23 00:00:00,2019/10/24 16:37:16,Retained by the Council,,Approved,2019/11/07 00:00:00,New,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/43476/REPROG23-0068-Introduction.pdf
43475,23,"Request to reprogram $3,930,000 of Local Funds Budget Authority within the Department of General Services ",Chairman Mendelson,REPROG23-0067,,,2019/10/23 00:00:00,2019/10/24 16:12:21,Retained by the Council,,Approved,2019/11/07 00:00:00,New,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/43475/REPROG23-0067-Introduction.pdf
43474,23,"Request to reprogram $617,150 of Special Purpose Revenue Funds Budget Authority within the Public Service Commission",Chairman Mendelson,REPROG23-0066,,,2019/10/23 00:00:00,2019/10/24 16:37:46,Retained by the Council,,Approved,2019/11/07 00:00:00,New,Reprogramming,Reprogramming,
43473,23,"Request to reprogram $670,599 of Local Funds Budget Authority within the Office of the Deputy Mayor of Planning and Economic Development ",Chairman Mendelson,REPROG23-0065,,,2019/10/23 00:00:00,2019/10/24 16:37:06,Retained by the Council,,Approved,2019/11/07 00:00:00,New,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/43473/REPROG23-0065-Introduction.pdf
43472,23,"Request to reprogram $1,565,000 of Local Funds Budget Authority within the Department of Employment Services ",Chairman Mendelson,REPROG23-0064,,,2019/10/23 00:00:00,2019/10/24 15:55:47,Retained by the Council,,Approved,2019/11/07 00:00:00,New,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/43472/REPROG23-0064-Introduction.pdf
43471,23,"Request to reprogram $490,000 of Local Funds Budget Authority within the Department of Energy and Environment  ",Chairman Mendelson,REPROG23-0063,,,2019/10/23 00:00:00,2019/10/24 15:56:24,Retained by the Council,,Approved,2019/11/07 00:00:00,New,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/43471/REPROG23-0063-Introduction.pdf
43470,23,"Request to reprogram $1,960,548 of Local Funds Budget Authority within the DC Public Library ",Chairman Mendelson,REPROG23-0062,,,2019/10/23 00:00:00,2019/10/24 15:43:23,Retained by the Council,,Approved,2019/11/07 00:00:00,New,Reprogramming,Reprogramming,
