Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
43098,23,Proposed loan agreement between the Department of Housing and Community Development (DHCD) and TM DBT Limited Partnership,Chairman Mendelson,CA23-0254,,,2019-08-23,2019-08-28,Retained by the Council,,Approved,2019-09-07,New,Contract,Contract,http://lims.dccouncil.us/Download/43098/CA23-0254-Introduction.pdf
43097,23,"Proposed loan agreement between the Department of Housing and Community Development (DHCD) and 1100 Eastern Ave., LLC ",Chairman Mendelson,CA23-0253,,,2019-08-23,2019-08-26,Retained by the Council,,Approved,2019-09-05,New,Contract,Contract,http://lims.dccouncil.us/Download/43097/CA23-0253-Introduction.pdf
43096,23,"Proposed contract with Johnson Truck Center, LLC ",Chairman Mendelson,CA23-0252,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/43096/CA23-0252-Introduction.pdf
43095,23,Proposed Human Care Agreement for Option Period One (1) with KRA Corporation ,Chairman Mendelson,CA23-0251,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/43095/CA23-0251-Introduction.pdf
43094,23,"Proposed contract with SPC Business Consulting, LLC ",Chairman Mendelson,CA23-0250,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/43094/CA23-0250-Introduction.pdf
43093,23,Proposed contract with Networking for Future Inc. ,Chairman Mendelson,CA23-0249,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/43093/CA23-0249-Introduction.pdf
43092,23,Proposed contract with Five Pearls Consulting Firm ,Chairman Mendelson,CA23-0248,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/43092/CA23-0248-Introduction.pdf
43091,23,"Proposed contract with Plwatcher Media Group, LLC ",Chairman Mendelson,CA23-0247,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,Under Council Review,Contract,Contract,
43090,23,"Proposed contract with JLC Management, LLC ",Chairman Mendelson,CA23-0246,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/43090/CA23-0246-Introduction.pdf
43089,23,Proposed contract with District Floor Depot Inc. ,Chairman Mendelson,CA23-0245,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/43089/CA23-0245-Introduction.pdf
43088,23,Proposed contract with HRUCKUS LLC ,Chairman Mendelson,CA23-0244,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/43088/CA23-0244-Introduction.pdf
43087,23,"Proposed contract to exercise Option Year One (1) with The Triage Group, LLC ",Chairman Mendelson,CA23-0243,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/43087/CA23-0243-Introduction.pdf
43086,23,"Proposed contract to exercise Option Year Three (3) with Tandem Conglomerate, LLC ",Chairman Mendelson,CA23-0242,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/43086/CA23-0242-Introduction.pdf
