WithdrawnBy,VendorName,PlaceOfIntroduction,MemoLink,DateRead,AdditionalInformation,RereferralCommitteeComments,ReIntroducer,LawNumber,IntroductionDate,Subcategory,Modified,RequestOf,CommitteeReferralComments,LegislationNumber,LegislationStatus,DocumentUrl,ActNumber,Deemed,CouncilPeriod,Category,WithDrawnDate,CommitteeReferral,ReReferralDate,ReReferralPublishedDate,Introducer,ShortTitle,PlaceRead,IsRereferred,AgendaDate,Id,RereferralCommittee,PublicationDate,ReCoSponsor,DeemedOn
,,Legislative Meeting,http://lims.dccouncil.us/Download/42110/B23-0204_Memorandum.pdf,2019-04-02,,,,,2019-03-05,Permanent Bill,2019-03-21,,Committee of the Whole,B23-0204,Under Council Review,http://lims.dccouncil.us/Download/42110/B23-0204-Introduction.pdf,,,23.0,Bill,,Committee on Transportation and the Environment,,,Councilmember Cheh,Energy Efficiency Standards Amendment Act of 2019,Legislative Meeting,False,,42110.0,,,,
,,Committee of the Whole,http://lims.dccouncil.us/Download/42097/B23-0192_Memorandum.pdf,2019-03-19,,,,,2019-03-19,Permanent Bill,2019-03-20,,,B23-0192,New,http://lims.dccouncil.us/Download/42097/B23-0192-Introduction.pdf,,,23.0,Bill,,Committee on Health,,,Councilmembers Cheh and Gray,Cottage Food Expansion Amendment Act of 2019,Committee of the Whole,False,,42097.0,,,,
,,Committee of the Whole,http://lims.dccouncil.us/Download/42098/B23-0193_Memorandum.pdf,2019-03-19,,,,,2019-03-19,Permanent Bill,2019-03-20,,,B23-0193,New,http://lims.dccouncil.us/Download/42098/B23-0193-Introduction.pdf,,,23.0,Bill,,Committee on Transportation and the Environment and Committee of the Whole,,,Councilmember Cheh,Electric Vehicle Readiness Amendment Act of 2019,Committee of the Whole,False,,42098.0,,,,
,,Committee of the Whole,http://lims.dccouncil.us/Download/42100/B23-0195_Memorandum.pdf,2019-03-19,,,,,2019-03-19,Permanent Bill,2019-03-20,,,B23-0195,New,http://lims.dccouncil.us/Download/42100/B23-0195-Introduction.pdf,,,23.0,Bill,,Committee on Government Operations,,,"Councilmembers Grosso, Cheh, Todd, Nadeau, and R. White",Michael A. Stoops Anti-Discrimination Amendment Act of 2019,Committee of the Whole,False,,42100.0,,,,
,,Committee of the Whole,http://lims.dccouncil.us/Download/42101/B23-0196_Memorandum.pdf,2019-03-19,,,,,2019-03-19,Permanent Bill,2019-03-20,,,B23-0196,New,http://lims.dccouncil.us/Download/42101/B23-0196-Introduction.pdf,,,23.0,Bill,,Committee on Education and Committee of the Whole,,,"Councilmembers Grosso, R. White, Cheh, Gray, Allen, Silverman, Nadeau, and Bonds",District of Columbia Public Schools Student Technology Equity Act of 2019,Committee of the Whole,False,,42101.0,,,,
,,Committee of the Whole,http://lims.dccouncil.us/Download/42102/B23-0197_Memorandum.pdf,2019-03-19,,,,,2019-03-19,Permanent Bill,2019-03-20,,,B23-0197,New,http://lims.dccouncil.us/Download/42102/B23-0197-Introduction.pdf,,,23.0,Bill,,Committee on Judiciary and Public Safety,,,"Councilmembers Nadeau, Silverman, and Grosso",Ethics Reform Amendment Act of 2019,Committee of the Whole,False,,42102.0,,,,
,,Committee of the Whole,http://lims.dccouncil.us/Download/42103/B23-0198_Memorandum.pdf,2019-03-19,,,,,2019-03-19,Permanent Bill,2019-03-20,,,B23-0198,New,http://lims.dccouncil.us/Download/42103/B23-0198-Introduction.pdf,,,23.0,Bill,,Committee on Health and Committee on Education,,,Councilmembers Nadeau and Cheh,Leverage for Our Future Act of 2019,Committee of the Whole,False,,42103.0,,,,
,,Committee of the Whole,http://lims.dccouncil.us/Download/42104/B23-0199_Memorandum.pdf,2019-03-19,,,,,2019-03-19,Permanent Bill,2019-03-20,,Committee on Judiciary and Public Safety,B23-0199,New,http://lims.dccouncil.us/Download/42104/B23-0199-Introduction.pdf,,,23.0,Bill,,Committee on Education and Committee of the Whole,,,"Councilmembers Allen, Cheh, Bonds, Nadeau, and Silverman",Public School Transparency Amendment Act of 2019,Committee of the Whole,False,,42104.0,,,,
,,Committee of the Whole,http://lims.dccouncil.us/Download/42105/PR23-0194_Memorandum.pdf,2019-03-19,,,,,2019-03-19,Proposed Resolution,2019-03-20,,,PR23-0194,New,,,,23.0,Resolution,,Retained by the Council,,,"Councilmembers Allen, Cheh, Grosso, Silverman, Bonds, Gray, Nadeau, R. White, and Chairman Mendelson",Sense of the Council in Opposition on the Prosecution of Local Gun Offenses in Federal Court Resolution of 2019,Committee of the Whole,False,,42105.0,,,,
,,Committee of the Whole,http://lims.dccouncil.us/Download/42106/B23-0200_Memorandum.pdf,2019-03-19,,,,,2019-03-19,Permanent Bill,2019-03-20,,,B23-0200,New,http://lims.dccouncil.us/Download/42106/B23-0200-Introduction.pdf,,,23.0,Bill,,Committee on Education and Committee of the Whole,,,Councilmembers Todd and R. White,FAFSA Graduation Requirement Amendment Act of 2019,Committee of the Whole,False,,42106.0,,,,
