Committee,value
Committee on Housing and Neighborhood Revitalization ,1
Not Referred,4
Committee on Health,11
Retained by the Council,178
Committee of the Whole,7
Committee on Government Operations,1
Committee on Education and Committee on Finance and Revenue,1
Committee on Transportation and the Environment,2
Committee on Transportation and the Environment and Committee of the Whole,1
Committee on Housing and Neighborhood Revitalization  and Committee on Judiciary and Public Safety,1
Committee on Finance and Revenue,5
Committee on Business and Economic Development,4
Committee on Judiciary and Public Safety,3
