Introducer,DeemedOn,IntroductionDate,LawNumber,ActNumber,DocumentUrl,LegislationNumber,Deemed,ShortTitle,LegislationStatus,Subcategory,CouncilPeriod,Id,CommitteeReferralComments,Category,Modified,CommitteeReferral
"Councilmembers Allen, Grosso, Todd, Cheh, Gray, and Nadeau",,2020-03-19,,,http://lims.dccouncil.us/Download/44484/B23-0723-Introduction.pdf,B23-0723,,Rioting Modernization Amendment Act of 2020,New,Permanent Bill,23,44484,,Bill,2020-03-20,Committee on Judiciary and Public Safety
Chairman Mendelson,2020-04-30,2020-03-17,,,http://lims.dccouncil.us/Download/44467/CA23-0465-Introduction.pdf,CA23-0465,Disapproved,"Proposed contract with Fidelity Information Services, LLC ",New,Contract,23,44467,,Contract,2020-03-20,Retained by the Council
Chairman Mendelson,,2020-03-19,,,http://lims.dccouncil.us/Download/44483/PR23-0774-Introduction.pdf,PR23-0774,,"Contract No. CFOPD-20-C-014, Electronic Benefit Transfer (EBT) Services Approval Resolution of 2020",New,Proposed Resolution,23,44483,,Resolution,2020-03-20,Retained by the Council
Councilmember Nadeau,,2020-03-17,,,http://lims.dccouncil.us/Download/44472/B23-0720-Introduction.pdf,B23-0720,,Adams Morgan Business Improvement District Amendment Emergency Amendment Act of 2020,New,Emergency Bill,23,44472,,Bill,2020-03-20,Retained by the Council
Chairman Mendelson,2020-03-30,2020-03-19,,,http://lims.dccouncil.us/Download/44478/CA23-0468-Introduction.pdf,CA23-0468,Approved,"Proposed contract with Avid Systems, LLC",New,Contract,23,44478,,Contract,2020-03-20,Retained by the Council
Councilmember T. White and Chairman Mendelson,,2020-03-12,,,http://lims.dccouncil.us/Download/44448/B23-0713-Introduction.pdf,B23-0713,,Ward 8 Senior Housing Fund Establishment Emergency Amendment Act of 2020,Under Mayoral Review,Emergency Bill,23,44448,,Bill,2020-03-20,Retained by the Council
Councilmember Bonds,,2020-03-03,,,http://lims.dccouncil.us/Download/44315/B23-0689-Introduction.pdf,B23-0689,,Reverse Mortgage Insurance and Tax Payment Program Temporary Amendment Act of 2020,Under Mayoral Review,Temporary Bill,23,44315,,Bill,2020-03-20,Retained by the Council
Councilmembers Allen and Nadeau,,2020-03-02,,,http://lims.dccouncil.us/Download/44310/B23-0686-Introduction.pdf,B23-0686,,Extreme Risk Protection Order Implementation Working Group Temporary Amendment Act of 2020,Under Mayoral Review,Temporary Bill,23,44310,,Bill,2020-03-20,Retained by the Council
"Councilmembers T. White, McDuffie, Cheh, and Bonds",,2020-03-03,,,http://lims.dccouncil.us/Download/44339/B23-0702-Introduction.pdf,B23-0702,,Ensuring the Public Trust in Human Services Through Customer Satisfaction Survey Act of 2020,Under Council Review,Permanent Bill,23,44339,,Bill,2020-03-20,Committee on Human Services
Councilmembers Allen and Cheh,,2020-03-02,,,http://lims.dccouncil.us/Download/44302/B23-0684-Introduction.pdf,B23-0684,,Leave to Vote Temporary Amendment Act of 2020,Under Mayoral Review,Temporary Bill,23,44302,,Bill,2020-03-20,Retained by the Council
Chairman Mendelson,,2020-02-28,,,http://lims.dccouncil.us/Download/44299/B23-0682-Introduction.pdf,B23-0682,,Ghost Guns Prohibition Temporary Amendment Act of 2020,Under Mayoral Review,Temporary Bill,23,44299,,Bill,2020-03-20,Retained by the Council
Councilmembers Gray and Bonds,,2020-03-03,,,http://lims.dccouncil.us/Download/44338/B23-0701-Introduction.pdf,B23-0701,,Birth-to-Three for All D.C. and Metro for D.C. Dedicated Funding Amendment Act of 2020,Under Council Review,Permanent Bill,23,44338,,Bill,2020-03-20,Committee of the Whole
Chairman Mendelson,,2020-02-27,,,http://lims.dccouncil.us/Download/44293/B23-0678-Introduction.pdf,B23-0678,,Contract No. DCCB-2019-C-0015 with Milberg Phillips Grossman LLP and Evangelista Worley LLC Approval and Payment Authorization Emergency Act of 2020,Under Mayoral Review,Emergency Bill,23,44293,,Bill,2020-03-20,Retained by the Council
Chairman Mendelson,,2020-02-27,,,http://lims.dccouncil.us/Download/44254/B23-0674-Introduction.pdf,B23-0674,,Substantive Technical Temporary Amendment Act of 2020,Under Mayoral Review,Temporary Bill,23,44254,,Bill,2020-03-20,Retained by the Council
"Councilmembers R. White, Nadeau, Cheh, and Silverman",,2020-03-03,,,http://lims.dccouncil.us/Download/44337/B23-0700-Introduction.pdf,B23-0700,,Reporting Sexual Misconduct in Schools Amendment Act of 2020,Under Council Review,Permanent Bill,23,44337,,Bill,2020-03-20,Committee on Education and Committee of the Whole
"Councilmembers Todd, Nadeau, Cheh, T. White, Allen, Grosso, Bonds, and Chairman Mendelson",,2020-03-03,,,http://lims.dccouncil.us/Download/44336/B23-0699-Introduction.pdf,B23-0699,,End Gun Violence Motor Vehicle Identification Tags Amendment Act of 2020,Under Council Review,Permanent Bill,23,44336,,Bill,2020-03-20,Committee on Transportation and the Environment
"Councilmembers Allen, Cheh, Nadeau, T. White, Bonds, McDuffie, R. White, Grosso, Todd, and Chairman Mendelson",,2020-03-03,,,http://lims.dccouncil.us/Download/44335/B23-0698-Introduction.pdf,B23-0698,,Metro for D.C. Amendment Act of 2020,Under Council Review,Permanent Bill,23,44335,,Bill,2020-03-20,Committee on Transportation and the Environment and Committee of the Whole
"Councilmembers Grosso, Nadeau, R. White, Bonds, Cheh, and Silverman",,2020-03-03,,,http://lims.dccouncil.us/Download/44334/B23-0697-Introduction.pdf,B23-0697,,Student Loan Borrower Bill of Rights Amendment Act of 2020,Under Council Review,Permanent Bill,23,44334,,Bill,2020-03-20,Committee on Business and Economic Development
"Councilmembers Bonds, Todd, Nadeau, Cheh, Grosso, and T. White",,2020-03-03,,,http://lims.dccouncil.us/Download/44333/B23-0696-Introduction.pdf,B23-0696,,Limited Equity Cooperative Advisory Council Act of 2020,Under Council Review,Permanent Bill,23,44333,,Bill,2020-03-20,Committee on Housing and Neighborhood Revitalization
Chairman Mendelson,2020-03-30,2020-03-19,,,http://lims.dccouncil.us/Download/44482/CA23-0472-Introduction.pdf,CA23-0472,Approved,Proposed loan agreement between the Department of Housing and Community Development (DHCD) and Scattered Sites III LLC ,New,Contract,23,44482,,Contract,2020-03-20,Retained by the Council
"Councilmembers Bonds, Todd, Nadeau, T. White, Cheh, Grosso, and R. White",,2020-03-03,,,http://lims.dccouncil.us/Download/44332/B23-0695-Introduction.pdf,B23-0695,,Limited Equity Cooperative Property Tax Assistance Amendment Act of 2020,Under Council Review,Permanent Bill,23,44332,,Bill,2020-03-20,Committee on Business and Economic Development
"Councilmembers Bonds, Grosso, R. White, Cheh, and Nadeau",,2020-03-03,,,http://lims.dccouncil.us/Download/44331/B23-0694-Introduction.pdf,B23-0694,,TOPA Reporting Amendment Act of 2020,Under Council Review,Permanent Bill,23,44331,,Bill,2020-03-20,Committee on Housing and Neighborhood Revitalization
"Councilmembers Cheh, Bonds, Nadeau, and Grosso",,2020-03-03,,,http://lims.dccouncil.us/Download/44330/B23-0693-Introduction.pdf,B23-0693,,Lottery Winner Protection Amendment Act of 2020,Under Council Review,Permanent Bill,23,44330,,Bill,2020-03-20,Committee on Business and Economic Development
Councilmember Todd,,2020-03-03,,,http://lims.dccouncil.us/Download/44325/B23-0692-Introduction.pdf,B23-0692,,ROSA Loophole Elimination Amendment Act of 2020,Under Council Review,Permanent Bill,23,44325,,Bill,2020-03-20,Committee on Transportation and the Environment
Councilmember Todd,,2020-03-02,,,http://lims.dccouncil.us/Download/44322/B23-0690-Introduction.pdf,B23-0690,,SMA Screening Act of 2020,Under Council Review,Permanent Bill,23,44322,,Bill,2020-03-20,Committee on Health
Chairman Mendelson,2020-03-30,2020-03-19,,,http://lims.dccouncil.us/Download/44481/CA23-0471-Introduction.pdf,CA23-0471,Approved,"Proposed contract with Sky, LLC dba U.S. Office Solutions ",New,Contract,23,44481,,Contract,2020-03-20,Retained by the Council
Councilmembers Allen and Nadeau,,2020-02-27,,,http://lims.dccouncil.us/Download/44296/B23-0680-Introduction.pdf,B23-0680,,Cecelia's Way Designation Act of 2020,Under Council Review,Permanent Bill,23,44296,,Bill,2020-03-20,Committee of the Whole
Councilmember Allen,,2020-03-09,,,http://lims.dccouncil.us/Download/44429/B23-0708-Introduction.pdf,B23-0708,,"The D.C. Central Kitchen, Inc. Tax Rebate Act of 2020",Under Council Review,Permanent Bill,23,44429,,Bill,2020-03-20,Committee on Business and Economic Development
Chairman Mendelson,2020-03-30,2020-03-19,,,http://lims.dccouncil.us/Download/44480/CA23-0470-Introduction.pdf,CA23-0470,Approved,Proposed all-risk property insurance binder with Zurich North America Insurance Company ,New,Contract,23,44480,,Contract,2020-03-20,Retained by the Council
Chairman Mendelson and Councilmember Grosso,,2020-03-16,,,http://lims.dccouncil.us/Download/44465/B23-0717-Introduction.pdf,B23-0717,,Expanding Equitable Access to Great Schools Act of 2020,New,Permanent Bill,23,44465,,Bill,2020-03-20,Committee on Education and Committee of the Whole
Chairman Mendelson,2020-03-30,2020-03-19,,,http://lims.dccouncil.us/Download/44479/CA23-0469-Introduction.pdf,CA23-0469,Approved,"Proposed contract to exercise option year one (1) with Capital Consulting, LLC dba Tharseo IT ",New,Contract,23,44479,,Contract,2020-03-20,Retained by the Council
Chairman Mendelson,2020-03-30,2020-03-19,,,http://lims.dccouncil.us/Download/44477/CA23-0467-Introduction.pdf,CA23-0467,Approved,"Proposed contract modification to exercise option year three (3) with KPMG, LLP ",New,Contract,23,44477,,Contract,2020-03-20,Retained by the Council
Chairman Mendelson,2020-03-30,2020-03-19,,,http://lims.dccouncil.us/Download/44476/CA23-0466-Introduction.pdf,CA23-0466,Approved,"Proposed contract modification to exercise option year one (1) with DigiDoc, Inc. ",New,Contract,23,44476,,Contract,2020-03-20,Retained by the Council
Chairman Mendelson at the request of the Mayor,,2020-03-18,,,http://lims.dccouncil.us/Download/44475/RC23-0169-Introduction.pdf,RC23-0169,,Correspondence from the Mayor - Workforce Innovation and Opportunity Act (WIOA) Unified State Plan July 2020 - June 2024,New,Other,23,44475,,Report,2020-03-20,
Chairman Mendelson,,2020-02-27,,R23-0385,http://lims.dccouncil.us/Download/44292/PR23-0742-Introduction.pdf,PR23-0742,,Contract No. DCCB-2019-C-0015 with Milberg Phillips Grossman LLP and Evangelista Worley LLC Approval and Payment Authorization Emergency Declaration Resolution of 2020,Approved,Emergency Declaration Resolution,23,44292,,Resolution,2020-03-19,Retained by the Council
Councilmember T. White and Chairman Mendelson,,2020-03-12,,R23-0384,http://lims.dccouncil.us/Download/44447/PR23-0768-Introduction.pdf,PR23-0768,,Ward 8 Senior Housing Fund Establishment Emergency Declaration Resolution of 2020,Approved,Emergency Declaration Resolution,23,44447,,Resolution,2020-03-19,Retained by the Council
Councilmember Nadeau,,2020-03-17,,R23-0383,http://lims.dccouncil.us/Download/44471/PR23-0773-Introduction.pdf,PR23-0773,,Adams Morgan Business Improvement District Amendment Emergency Declaration Resolution of 2020,Approved,Emergency Declaration Resolution,23,44471,,Resolution,2020-03-19,Retained by the Council
